HOME,REST,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,3.0,22.2,10.8,3.4,4.8,0.5185185185185185,0.6470588235294118,0.9166666666666667,30.8,101.6,108.0,17
0,2.0,23.2,12.4,3.4,5.4,0.5,0.5882352941176471,0.8888888888888888,32.4,105.2,112.6,34
1,2.0,25.8,13.4,4.8,4.8,0.5074626865671642,0.5416666666666667,0.9166666666666667,33.6,101.4,110.9,32
0,2.0,29.6,14.6,6.0,5.0,0.5342465753424658,0.5333333333333333,0.8800000000000001,33.6,102.2,111.3,30
0,2.0,26.8,13.4,6.0,5.4,0.5223880597014925,0.4666666666666666,0.8148148148148149,33.6,99.9,115.2,21
1,1.0,26.8,13.0,6.0,6.0,0.5384615384615384,0.43333333333333335,0.8333333333333334,35.8,105.3,112.5,46
1,4.0,32.6,13.6,8.0,6.8,0.5882352941176471,0.475,0.7647058823529412,37.2,99.0,112.8,26
1,1.0,31.0,13.4,6.8,6.4,0.6417910447761194,0.4411764705882353,0.7499999999999999,35.6,103.5,116.2,24
0,2.0,29.4,13.0,6.0,6.4,0.6153846153846154,0.4666666666666666,0.78125,34.2,99.4,116.2,34
0,3.0,30.2,12.4,6.6,6.4,0.6451612903225806,0.4545454545454546,0.8125,33.2,102.7,117.7,16
0,2.0,29.2,12.4,7.2,5.8,0.6451612903225806,0.38888888888888884,0.8275862068965517,33.4,102.3,113.1,30
0,2.0,26.0,11.4,5.2,5.4,0.6666666666666666,0.3846153846153846,0.8888888888888888,32.4,101.7,113.0,25
0,2.0,25.8,11.2,5.4,6.4,0.6071428571428572,0.40740740740740744,0.8749999999999999,33.4,100.3,113.8,19
1,2.0,24.8,11.4,5.6,5.6,0.6140350877192983,0.35714285714285715,0.8571428571428572,36.2,101.8,116.6,14
1,2.0,20.8,10.6,5.0,5.0,0.5471698113207547,0.32,0.8800000000000001,34.4,98.6,106.8,23
1,2.0,22.2,11.2,4.2,5.4,0.5357142857142857,0.42857142857142855,0.8888888888888888,33.8,100.3,113.8,27
0,4.0,21.6,10.6,4.8,6.0,0.5094339622641509,0.375,0.9,34.8,102.4,111.7,24
1,2.0,21.4,9.8,5.0,6.0,0.5510204081632653,0.36,0.8666666666666667,35.0,105.2,112.6,19
0,4.0,21.4,9.4,5.2,7.0,0.5531914893617021,0.34615384615384615,0.7999999999999999,34.6,98.6,106.8,22
0,4.0,23.0,10.4,4.8,7.4,0.5576923076923077,0.375,0.8108108108108107,38.2,99.8,108.6,32
0,2.0,24.8,9.2,4.8,8.2,0.6086956521739131,0.5,0.7804878048780489,38.6,101.8,116.6,11
1,2.0,21.6,8.2,4.8,7.0,0.5365853658536587,0.5,0.7999999999999999,36.2,102.4,111.7,31
1,2.0,23.0,9.0,4.4,7.0,0.6000000000000001,0.5,0.7999999999999999,35.4,101.8,114.1,21
0,2.0,23.4,9.4,4.2,6.2,0.6382978723404255,0.47619047619047616,0.8709677419354839,34.0,98.6,106.8,16
0,1.0,22.2,8.2,4.4,5.6,0.6829268292682927,0.5,0.7857142857142858,32.0,103.5,116.2,30
0,2.0,21.8,9.6,4.4,4.4,0.7083333333333334,0.36363636363636365,0.7727272727272726,33.2,103.5,116.2,32
1,2.0,26.0,11.8,4.0,5.2,0.7796610169491525,0.3,0.7692307692307692,34.2,102.7,117.7,31
0,2.0,26.0,12.2,4.6,5.0,0.7049180327868853,0.3478260869565218,0.8,35.2,102.6,104.7,17
0,1.0,25.2,12.6,3.6,5.4,0.6666666666666667,0.38888888888888884,0.7777777777777778,37.6,105.3,112.5,44
1,4.0,30.8,15.8,4.2,6.6,0.6582278481012658,0.38095238095238093,0.787878787878788,38.4,102.4,111.7,27
1,2.0,30.2,15.2,3.8,7.2,0.618421052631579,0.4736842105263158,0.8333333333333333,36.4,102.6,104.7,23
1,2.0,28.4,14.8,3.6,6.6,0.5675675675675675,0.5555555555555556,0.8484848484848485,35.8,101.4,110.9,30
1,1.0,28.2,14.2,3.4,6.6,0.6056338028169014,0.5294117647058824,0.8484848484848485,35.6,102.5,110.1,26
1,7.0,30.0,13.2,5.2,7.8,0.5909090909090909,0.5,0.8461538461538461,35.8,105.2,112.6,13
0,1.0,23.8,11.2,5.0,6.2,0.5178571428571429,0.44000000000000006,0.9032258064516128,35.8,99.0,112.8,25
1,4.0,23.4,12.0,5.0,5.8,0.5666666666666667,0.32,0.8620689655172414,36.8,100.6,113.5,18
1,2.0,22.4,12.6,4.8,5.8,0.5238095238095238,0.2916666666666667,0.8620689655172414,36.6,106.2,110.0,24
1,2.0,21.2,13.0,4.6,4.8,0.49230769230769234,0.30434782608695654,0.8750000000000001,36.0,102.3,113.1,14
1,3.0,18.8,13.0,3.6,3.4,0.5384615384615384,0.16666666666666666,0.8823529411764706,33.4,100.1,111.4,11
1,2.0,18.4,12.6,2.8,3.8,0.5238095238095238,0.2142857142857143,0.8947368421052632,33.0,101.6,108.0,22
0,1.0,17.8,12.6,3.2,4.0,0.4761904761904762,0.25,0.85,32.8,102.4,111.7,27
1,4.0,19.6,12.4,3.6,4.2,0.5,0.3333333333333333,0.8571428571428571,35.0,98.3,108.0,9
0,3.0,16.6,11.0,3.2,3.8,0.45454545454545453,0.37499999999999994,0.7894736842105263,34.0,102.2,111.3,40
1,1.0,21.8,12.4,4.0,5.0,0.48387096774193544,0.45,0.8800000000000001,35.6,105.2,112.6,44
1,8.0,28.4,13.4,5.6,6.4,0.5223880597014925,0.5357142857142857,0.84375,38.0,105.3,112.5,32
0,1.0,30.4,14.4,6.6,6.2,0.5416666666666666,0.4848484848484849,0.8387096774193549,39.0,102.4,109.0,23
0,2.0,29.6,13.6,6.6,5.8,0.5882352941176471,0.4545454545454546,0.793103448275862,37.0,98.3,108.0,24
0,5.0,32.6,15.6,7.0,6.0,0.576923076923077,0.4571428571428572,0.8333333333333334,39.6,106.2,110.0,11
0,2.0,26.8,13.8,6.4,4.8,0.5362318840579711,0.43749999999999994,0.75,38.2,98.4,110.6,19
0,4.0,21.8,12.2,5.2,4.0,0.5737704918032788,0.3076923076923077,0.75,36.8,100.1,111.4,12
0,1.0,17.8,9.6,4.4,4.6,0.5208333333333334,0.3181818181818181,0.782608695652174,36.6,99.7,107.9,23
0,3.0,17.8,10.0,5.2,4.8,0.42000000000000004,0.34615384615384615,0.8333333333333334,37.6,100.6,113.5,26
0,2.0,18.2,8.6,5.6,6.0,0.46511627906976744,0.32142857142857145,0.7999999999999999,35.0,101.6,111.9,21
0,3.0,20.2,9.0,5.4,6.2,0.5111111111111111,0.37037037037037035,0.8064516129032258,36.6,101.3,108.9,29
1,2.0,22.2,10.8,5.6,5.2,0.5,0.4285714285714286,0.8076923076923077,34.6,98.4,110.6,23
0,2.0,24.4,11.8,5.4,3.8,0.5423728813559322,0.5185185185185185,0.8421052631578948,32.4,101.8,114.1,32
0,1.0,26.2,12.2,5.0,4.8,0.5901639344262296,0.52,0.8333333333333334,32.6,100.3,113.8,24
1,2.0,25.8,13.8,4.6,3.4,0.5652173913043478,0.5217391304347826,0.8823529411764706,34.2,103.5,116.2,31
1,3.0,27.8,15.2,4.8,5.2,0.5526315789473685,0.45833333333333337,0.8461538461538461,33.8,101.7,113.0,26
1,1.0,27.2,14.4,5.2,6.4,0.5694444444444444,0.3846153846153846,0.7499999999999999,34.6,99.7,107.9,34
0,2.0,29.4,14.6,5.6,8.4,0.5616438356164383,0.3928571428571429,0.7619047619047619,36.2,101.4,110.9,14
1,2.0,25.8,14.0,5.2,6.8,0.5285714285714286,0.3846153846153846,0.7352941176470589,35.6,101.6,111.9,10
0,3.0,23.0,12.8,4.8,6.6,0.5,0.375,0.7272727272727273,34.8,102.4,109.0,25
0,3.0,21.8,12.4,4.4,5.4,0.5,0.40909090909090906,0.7407407407407407,34.2,105.2,112.6,30
1,1.0,22.6,12.4,3.6,5.6,0.5,0.5,0.8571428571428572,34.0,99.4,116.2,19
1,2.0,19.6,11.8,2.8,4.8,0.5254237288135593,0.35714285714285715,0.8750000000000001,33.4,98.3,108.0,34
0,2.0,23.6,12.8,2.8,6.0,0.609375,0.35714285714285715,0.8333333333333334,35.6,102.5,110.1,25
